88.7	1.01
41.48	15.04
32.98	3.02
42.31	13.01
29.66	21.64
57.91	15.48
41.17	26.97
43.51	25.83
75.3	17.98
74.95	48.35
10.44	26.92
6.57	20.57
76.85	81.58
35.44	10.61
4.76	48.38
88.79	16.43
23.84	21.68
78.95	24.95
57.43	66.08
70.99	5.38
53.11	16.14
46.28	12.59
86.06	14.95
56.96	31.84
39.85	14.44
31.81	29.81
78.6	42.09
25.14	65.06
73.44	29.23
55.2	28.91
62.63	13.99
5.86	38.91
39.79	17.27
28.7	26.0
31.91	16.06
1.13	34.9
20.82	62.4
75.22	9.04
36.81	32.86
86.03	15.41
41.32	29.32
54.66	23.66
7.38	32.2
4.37	51.87
19.79	8.78
48.21	15.92
17.74	30.34
87.06	1.9
76.4	40.0
36.43	64.43
82.89	25.77
65.72	24.73
48.16	71.75
61.55	54.72
43.34	50.22
86.22	75.85
76.09	36.0
14.35	56.53
77.81	18.13
73.38	16.55
48.89	33.64
65.15	8.75
40.86	9.91
88.63	8.95
58.44	36.48
82.93	29.37
66.92	7.93
28.4	41.57
66.48	6.99
44.27	5.39
42.13	25.29
68.9	41.44
36.74	30.84
40.34	2.89
20.02	47.35
87.75	9.4
5.25	46.33
12.64	3.7
68.57	37.0
77.85	28.55
44.72	5.52
38.41	40.87
64.9	32.25
89.37	14.73
21.86	32.58
65.84	8.02
65.18	30.34
51.83	2.5
27.57	34.07
28.96	43.58
23.08	73.94
57.72	73.34
26.89	13.42
19.28	17.63
76.42	2.42
20.23	5.39
68.68	64.33
2.31	60.02
51.05	12.87
5.33	1.88
4.67	4.04
16.06	58.43
7.86	12.22
28.03	11.78
71.16	78.25
32.2	2.17
51.75	25.41
26.24	9.14
30.16	67.05
78.58	46.51
7.11	16.37
38.44	61.93
60.45	8.85
10.16	32.31
43.81	42.1
4.83	64.23
68.58	18.43
0.45	39.75
30.95	1.36
24.63	25.39
39.15	33.32
16.81	55.72
28.87	50.74
35.85	37.21
69.19	18.42
49.36	53.21
75.36	19.78
52.66	30.64
63.59	16.45
64.82	7.85
66.48	8.63
86.89	57.02
26.4	21.23
11.6	47.5
46.09	16.37
70.75	54.99
4.23	25.23
68.78	9.19
75.31	14.77
36.91	56.66
80.25	32.07
26.11	72.49
44.11	63.86
3.66	47.39
58.8	15.02
70.07	19.52
69.09	24.58
15.17	32.38
60.48	17.85
86.02	45.4
59.15	49.3
24.98	45.72
28.93	0.03
24.05	48.9
43.93	55.67
10.04	40.24
87.79	13.15
37.14	1.6
39.37	79.01
56.34	33.25
56.04	14.42
68.68	64.51
46.03	49.2
71.7	71.36
31.51	40.43
1.89	62.19
32.48	32.88
52.4	33.06
66.05	57.48
10.28	18.86
58.92	24.4
63.34	14.71
51.39	52.63
31.86	1.57
55.54	60.3
31.25	43.34
35.41	32.56
71.51	3.01
11.17	83.09
82.08	49.78
38.21	72.34
13.44	39.01
10.47	16.86
45.43	13.28
80.12	41.49
73.63	27.26
69.9	10.46
12.83	40.17
47.53	39.25
5.26	40.86
53.88	64.22
36.83	6.39
16.42	14.25
48.24	14.77
16.3	31.05
10.97	59.56
4.08	26.82
26.33	20.48
7.22	6.37
36.95	11.29
7.03	21.14
61.87	44.65
24.38	15.42
70.8	80.67
37.05	7.76
66.0	18.67
14.69	20.03
23.98	8.66
12.41	65.93
1.54	11.99
89.75	21.09
8.45	35.39
55.99	23.42
74.7	16.94
80.9	3.38
43.8	65.63
85.23	7.38
30.81	17.88
57.57	15.2
40.08	42.84
46.15	25.98
56.07	27.49
35.13	48.02
9.27	4.03
16.31	21.59
47.18	42.42
39.81	37.63
54.96	34.56
38.76	17.55
77.28	31.77
33.82	2.08
38.47	61.56
63.88	0.22
66.31	18.1
75.43	51.14
14.11	25.68
88.08	1.45
43.81	50.35
82.77	66.52
66.11	38.7
44.81	17.28
49.26	12.45
44.31	9.71
32.31	35.11
39.47	33.49
79.81	6.63
45.27	63.44
88.62	9.05
42.73	63.48
35.0	19.53
16.07	26.22
18.13	26.38
13.59	9.46
30.02	17.88
83.4	30.12
30.33	53.06
8.97	17.94
67.63	30.37
88.3	10.7
69.65	5.01
10.62	22.58
66.72	64.36
85.16	56.3
69.92	5.05
88.86	26.77
36.74	8.9
60.0	25.88
57.4	73.74
36.24	22.56
29.29	49.47
37.68	10.69
57.41	46.75
61.27	68.04
34.6	46.68
8.8	32.93
77.27	19.61
74.75	36.37
65.88	45.04
23.91	26.47
64.47	18.5
67.01	68.79
55.07	23.34
35.44	10.01
32.54	28.26
82.47	75.38
1.24	3.09
10.79	23.91
74.46	70.46
0.05	15.45
66.02	21.79
78.5	15.87
40.24	25.48
29.43	3.24
80.99	62.32
15.44	48.38
82.75	4.31
19.84	29.52
35.35	23.15
14.57	19.67
36.07	37.58
55.14	0.79
46.48	13.54
48.62	21.92
6.35	22.4
63.92	51.07
65.16	59.16
50.93	47.07
62.0	20.72
75.35	22.68
29.74	18.65
69.69	53.24
69.19	45.49
66.06	32.98
10.79	45.36
86.61	0.31
61.57	29.95
58.33	24.41
11.87	34.01
39.72	1.56
68.21	18.49
35.46	8.92
60.1	12.96
78.7	35.75
55.51	5.61
33.19	24.46
8.04	28.31
30.47	22.2
27.33	11.89
89.92	5.42
71.65	31.82
40.63	21.63
58.39	54.19
60.08	62.42
11.6	25.89
25.06	22.32
17.2	47.4
49.1	10.41
72.45	42.23
12.82	61.0
23.9	83.83
35.87	24.02
32.37	32.65
7.89	54.24
82.88	28.11
49.04	29.58
41.68	13.3
87.85	0.79
44.56	15.27
46.31	33.38
15.92	27.42
83.52	7.09
34.66	65.47
70.65	26.54
6.72	19.67
39.52	55.9
52.34	22.99
50.26	57.56
79.87	21.26
31.59	44.22
87.52	25.13
74.69	58.27
63.86	25.43
70.7	13.76
67.94	59.62
79.12	9.16
35.16	25.78
48.0	27.48
51.56	52.48
22.07	12.81
19.43	7.04
18.03	34.52
76.29	46.96
30.27	26.69
56.25	27.22
37.53	2.45
9.07	48.92
39.43	15.56
38.85	0.19
28.72	22.02
24.91	35.99
2.58	81.27
87.74	12.05
51.94	29.95
73.15	36.19
45.43	22.6
84.74	6.73
52.53	33.0
22.15	51.99
9.28	26.6
